key_word,text_window,file,period,sentiment,confidence_score
Alemania,oscuros que los de su hermana Oh señora qué hermoso es este niño exclamó Dolores cuya imaginación poética y apasionada habia estado siempre envuelta en los velos del positivismo y se desenvolvía de su helado sudario al aspecto de tantas bellezas físicas é intelectuales y al calor del fuego sagrado del entusiasmo Se parece á su padre respondió Margarita dejando escapar un suspiro Permítame Vd. señora una pregunta dijo Dolores á aquella joven madre Hace ya mucho tiempo que perdió Vd. á su esposo Hace cuatro años señora Murió en París Sí señora y yo hubiera partido al instante para Alemania á no haber sido su expresa voluntad que se educase aquí su hijo ah señora solo el deber de cumplir este deseo supremo es lo que me hace permanecer aquí Tiene Vd. aversión á París Y cómo no tenérsela si aquí los desengaños y las penas han cortado el hilo de la vida de mi esposo Fué desgraciado Mucho la envidia se ensañó con él y ya que no pudieron cortar las alas á su genio cortaron los lazos de su vida Yo le amaba desde niña y al perderle el mundo se convirtió para mí en un inmenso desierto,SPA2022_Sinues_ElAlmaEnferma_annotated.xml,1860-1879,Very Positive,0.8309674263000488
Alemania,al armario Su tío le detuvo —No hace falta chico Para qué Así salió casi milagrosamente de aquel terrible compromiso que de otro modo hubiera producido una catástrofe Sin embargo la victoria le costó muchos momentos de cruel amargura un gran desfallecimiento físico y moral que por poco le hace enfermar No es posible romper bruscamente con nuestras ideas y sentimientos con lo que constituye nuestro carácter sin que la ruptura produzca vivo dolor Por esta época vino a visitarle un caballero chileno aficionado a la zoología y dedicado también a la especialidad de las mariposas como él Venía de Alemania y se disponía a regresar a su país Había leído algunos de sus artículos científicos y teniendo además noticia de su colección no quiso pasar por Madrid sin verla Raimundo le recibió con alegría y un poco de vergüenza también Hacía ya algunos meses que no se ocupaba poco ni mucho en asuntos de ciencia que tenía su colección abandonada A pesar de eso el chileno la halló muy notable y simpatizó extremadamente con él Le dijo que tenía encargo de su Gobierno para llevar algunos jóvenes de valer que se pusiesen al frente de las cátedras recién creadas en,SPA3022_PalacioValdes_LaEspuma_annotated.xml,1880-1899,Very Negative,0.7876471281051636
Alemania,desacato a su persona u otro crimen análogo que pudiese justificar su rigurosa medida y sólo haga hincapié en todas ellas y repitiendo casi literalmente la misma frase en excesos que proceden de su naturaleza y particular condición que no se pueden repetir por la decencia del caso y por el honor y la estimación del príncipe Desesperanzado al fin Don Carlos de gobernar en Flandes por concesión de su padre y temeroso también de que éste acabase de romper su matrimonio con Doña Ana determinó fugarse de España y dirigirse a Italia para seguir de allí a Flandes o Alemania según las circunstancias del momento le aconsejasen Érale forzoso para esto dinero antes que nada y a este propósito envió a sus ayudas de cámaras Garci Álvarez Osorio yJuan Martínez de la Cuadra a pedir prestados seiscientos mil ducados entre los comerciantes de Toledo Medina del Campo Valladolid y Burgos Mas andaba el crédito de Don Carlos harto por los suelos en estos mercados pues todos le sabían tan liberal en el pedir como infiel en el pagar y las requisas de Osorio y de Cuadra sólo produjeron algunos miles de ducados No se desanimó con esto Don Carlos y,SPA4025_Coloma_Jeromin_annotated.xml,1900-1920,Very Negative,0.751216471195221
Alemania,nombre familiar del presidente Kruger a los enemigos de las innovaciones No lo creas Oom Paul es viejo y morirá como ha vivido hecho un antiguo boer sin más vicios que el tabaco y el café con todas las virtudes la fuerza hercúlea el ojo certero la sobriedad perfecta el valor indomable la honradez inmaculada y la pietista religiosidad de nuestros padres Oom Paul morirá sin haber leído más libros que la Biblia Y entonces Pero repara en los hombres de que se ha hecho rodear Holandeses expertos boers educados en el colegio de Bloemfon-tein o en las escuelas de Alemania y Holanda Es cierto Convienes en ello Por debajo de la áspera corteza del presidente Kruger del boer hasta la médula hay un espíritu abierto al viento nuevo No camina tan de prisa como quisieran las Compañías extranjeras Kruger y su pueblo van despacio al paso de los bueyes que arrastran el vagón llegarán lenta pero seguramente Me comprendes Abraham Oh sí ahora sí Pero ese Cecil Rhodes A eso iba Yo tomé a Cecil Rhodes como instrumento de una gran idea Qué otro mejor él Donde él se meta no será el asociado sino el dominador He creído hasta,SPA4017_Maetzu_LaGuerraDelTransvaal_annotated.xml,1900-1920,Very Positive,0.7148693203926086
Alemania,á los desesperados esfuerzos de un hombre No habia pues esperanza para Juan de Mesa y el desaliento sucedió bien pronto en su angustiado corazon al débil rayo de luz que habia creido ver brillar para él al considerarse abandonado de todos á su suerte -¿Conque voy á morir por asesino esclamó dolorosamente y dejándose caer mas bien que sentándose en el suelo Maldito ermitaño Maldito dia aquel en que te hallé Quién fué el demonio enemigo mortal de mi salvacion que te inspiró la idea de venir á Castilla para que nos encontrásemos los dos Vivieras y murieras en Alemania como habias jurado al marcharte y de ese modo no me hubieras obligado á quitarte la vida En fin lo hecho hecho se está como dice Diego á quien el cielo favorece mas que á mí Ah gritó entonces dándose una palmada en la frente é incorporándose de pronto Qué famosa idea acaba de ocurrirme Diego Martinez estaba aquí con los demás y sin embargo se ha escapado sin saberse cómo ni por dónde de seguro que no habrá sido por la puerta porque le hubieran visto Pues bien no hay remedio esta sala tiene otra salida que yo ignoro,SPA1018_Andueza_DonFelipe_annotated.xml,1840-1859,Very Negative,0.7082472443580627
Alemania,y de cortas luces pero de una voluntad sana de una fe profunda y de una caridad fervorosa Luis se compara con el vicario y dice que se siente humillado Esto ha traído cierta amarga melancolía a su corazón pero Pepita que sabe mucho la disipa con sonrisas y cariño Todo prospera en casa Luis y yo tenemos unas candioteras que no las hay mejores en España si prescindimos de Jerez La cosecha de aceite ha sido este año soberbia Podemos permitirnos todo género de lujos y yo aconsejo a Luis y a Pepita que den un buen paseo por Alemania Francia e Italia no bien salga Pepita de su cuidado y se restablezca Los chicos pueden sin imprevisión ni locura derrochar unos cuantos miles de duros en la expedición y traer muchos primores de libros muebles y objetos de arte para adornar su vivienda Hemos aguardado dos semanas para que sea el bautizo el día mismo del primer aniversario de la boda El niño es un sol de bonito y muy robusto Yo he sido el padrino y le hemos dado mi nombre Yo estoy soñando con que Periquito hable y diga gracias Para que todo les salga bien a,SPA2017_JuanValera_PepitaJimenez_annotated.xml,1860-1879,Very Positive,0.7053948640823364
Alemania,se sabe pero sí que al terminar Chamberlain aterrado convulso pálido como un muerto redactó su famoso telegrama al Alto Comisario del Cabo ordenándole que considerara como filibustero al doctor Jameson y a cuantos le ayudaran en su criminal empresa Este telegrama fue el que motivó el de Cecil Rhodes Y cómo no había de permitirse este último juzgar los actos de Chamberlain si éste era su cómplice y había faltado a lo convenido declarando filibustero al pobre Jameson en lugar de ayudarle como se había acordado Y cómo podía haber obrado de otro modo Chamberlain si un embajador de Alemania le hubiera acusado de conculcar el derecho de gentes y las leyes internacionales caso de haber protegido al doctor Jameson Chamberlain vio perdida su carrera política en caso de que se descubriera su complicidad en una conspiración filibustera Ni Salisbury su jefe ni nadie podía ayudarle en esa empresa que había realizado de propia cuenta sin consultar con el jefe del Gobierno jefe de su partido Salisbury no podía declarar la guerra a Alemania para ocultar las culpas de un ministro que había conspirado sin consultarle Chamberlain no podía tampoco quedar al descubierto con Salisbury y presentar la dimisión porque,SPA4017_Maetzu_LaGuerraDelTransvaal_annotated.xml,1900-1920,Very Negative,0.6976256370544434
Alemania,la que había sido amada por Wolfgang lo pintaba Marta con un calor sólo comparable al que despedían sus propias rodillas Nepomuceno confundiendo las cosas y hasta las facultades del alma se llegó a figurar que los genios alemanes eran unos sátrapas que se pasaban la vida despreciando a los seres vulgares y manoseando los mejores bocados del eterno femenino Cuando llegó lo de las madres del tantas veces citado Goëthe Nepo no podía menos de figurarse las tales madres como unas ubérrimas amas de cría De todas suertes y fuera lo que fuera de Heine y de la Joven Alemania él estaba que ardía y a tanta ciencia y poesía y contacto de piernas sólo se le ocurría contestar lo que sin saberlo él Nepomuceno contestaba aquel personaje de la comedia titulada De fuera vendrá Quiere decirse que al tío mayordomo no se le venía a la boca más que la solemne promesa de futuro pero muy próximo matrimonio Emma siguiendo el ejemplo de algunas otras casadas que bailaban también aceptó unos lanceros a que la invitó el presidente del Casino y poco después bailó con Minghetti una polca íntima género de desfachatez tolerada que empezaba entonces a hacer furor,SPA3003_LeopoldoAlas_SuUnicoHijo_annotated.xml,1880-1899,Very Positive,0.6926339268684387
Alemania,muy desolado prosiguió diciendo -¿Te rríes Aguarrda aguarrda Yo decía cavilando toda la noche Mentecato en San Peterrsburrgo Y me devanaba los sesos y se me espantaba el sueño sin acerrtarr Al otro día otra carrtita Perro de dónde crees De Chinchón Jacobo de Chinchón La abro y el mismo lema Mentecato Al día siguiente carrta de Fuente Obejuna provincia de Córrdoba y lo mismo En fin hijo desde entonces todos los días sin faltarr ninguno una carrtita de letra diverrsa de parrte distinta las más rremotas en todas las partes del globo de Francia de Inglaterra de Alcorrcón de Alemania de Chinchilla de Calcuta Ya tú ves De Calcuta de Constantinopla de Terrrones Jacobito de Terrrones pueblecillo de tres casas en la provincia de Salamanca y siempre con el mismo lema Mentecato Un día el 20 de enero san Sebastián márrtir me acuerdo muy bien estaba más tranquilo llegó el correo y no trajo carrta ninguna Porr la tarrde abro ahí -y abrió la mesilla de noche- y allí dentro me encuentro una carrta la abro Mentecato Dime tú si eso no es para volverrse loco si no encierra un misterio terrible que tu carrtita del sello me va ahorra,SPA3013_Coloma_Pequeneces_annotated.xml,1880-1899,Very Negative,0.6836943626403809
Alemania,habian causado las primeras palabras del fraile ya veo que no venis á anunciarme ningun asesinato -Si eso fuera no hubiera salido del monasterio Teneis en mas por ventura la vida de un hombre que el deshonor de una familia -¡Oh No no padre mio pero qué parte me toca de vuestros anuncios Me importa tal vez ese secreto -!Si os interesa Pues á quién sino á vos hija mia -¡Cómo Acaso mi esposo D. Luis Quijada el mas pundonoroso caballero de Castilla -Vuestro esposo el señor D. Luis Quijada olvida las obligaciones que os debe y se entrega en Alemania á los desórdenes Hace un año que conoció en Ratisbona á una dama de singular belleza con la cual ha vivido con ilícito trato y acaso no tardeis en tener la prueba á la vista supuesto que el noble alcaide de Villagarcía y mayordomo del César sé dispone para volver á España con el fruto de sus amores padre mio cesad gritó doña Magdalena desesperada y fuera de sí porque acabáis de atravesarme el corazon Nunca creí que debajo de ese sagrado hábito se anidase tanta crueldad -He luchado hija mia he luchado conmigo mismo largas noches antes de resolverme,SPA1018_Andueza_DonFelipe_annotated.xml,1840-1859,Very Negative,0.6777719855308533
