kew_word,text_window,file,period,key_word,sentiment,confidence_score
Alemania,"es viejo y morirá como ha vivido , hecho un antiguo boer , sin más vicios que el tabaco y el café , con todas las virtudes , la fuerza hercúlea , el ojo certero , la sobriedad perfecta , el valor indomable , la honradez inmaculada y la pietista religiosidad de nuestros padres . Oom Paul morirá sin haber leído más libros que la Biblia . — ¿ Y entonces ? — Pero repara en los hombres de que se ha hecho rodear . Holandeses expertos , boers educados en el colegio de Bloemfon-tein o en las escuelas de Alemania y Holanda . — Es cierto . — ¿ Convienes en ello ? ... Por debajo de la áspera corteza del presidente Kruger , del boer hasta la médula , hay un espíritu abierto al viento nuevo . No camina tan de prisa como quisieran las Compañías extranjeras . Kruger y su pueblo van despacio , al paso de los bueyes que arrastran el vagón ; llegarán lenta ... ¡ pero seguramente ! ... ¿ Me comprendes , Abraham ? — ¡ Oh , sí , ahora , sí ... ¡ Pero ese Cecil Rhodes ! — A eso iba",SPA4017_Maetzu_LaGuerraDelTransvaal_annotated.xml,1900-1920,Alemania,Very Positive,0.827370285987854
Alemania,"ayuntamientos enemigos . Mendoza , y lo mismo los otros , le contestaron que el presidente y el Ministro estaban conformes . Sin embargo , se pasaban los días y la orden no venía . Otro asunto traían entre manos los de la Casiña que les preocupaba , aunque no tanto como el anterior . Era la carretera desde Serín á Agüeria , que el vecindario de ambos puntos ansiaba que saliese á subasta . Muchas veces se había gestionado por ambos bandos sin resultado : últimamente el General les había prometido trabajar hasta conseguirlo ; pero su partida á Alemania frustró las esperanzas de los partidarios de D. Servando , los cuales esperaban que el distrito les debiese á ellos el beneficio y no á los de la Casona . Mas hete aquí que averiguan que éstos gestionan activamente en Madrid la subasta por medio de Corrales , quien como ex-ministro y persona muy conocida en la política , no dejaba de sostener buenas relaciones con los actuales ministros . Entonces los de la Casiña se alarman y obligan á Miguel á poner en juego otra vez sus influencias para que de ningún modo se conceda el favor á Corrales",SPA3020_PalacioValdes_Maximina_annotated.xml,1880-1899,Alemania,Neutral,0.7866917848587036
Alemania,"a la alegría y el optimismo la tristeza y la desolación . Los corredores comenzaron a ofrecer los valores en baja . Todas las acciones se venían al suelo ; era la ruina para los especuladores , y los alemanes se reían a mandíbula batiente de sus compañeros . La noticia , en realidad , era estupenda , y sólo porque la confirmación llegada por varios conductos había merecido crédito . Alejandro se enteró de lo ocurrido , era lo siguiente : Al saberse en Londres que el doctor Jameson había traspasado la frontera del Transvaal , el embajador de Alemania visitó al ministro de las colonias , Mr . Chamberlain , para decirle poco más o menos : « Mi Gobierno no puede tolerar que una partida de aventureros atenten contra la independencia de un Estado reconocido por todas las naciones , y en vista de que la expedición del doctor Jameson parece contar con el apoyo del Gobierno británico , el Emperador de Alemania le hace responsable de cuanto ocurra en el Sur de Africa . » Chamberlain , alarmado ante actitud tan enérgica , tuvo miedo de envolver a su país en una guerra contra Alemania y telegrafió",SPA4017_Maetzu_LaGuerraDelTransvaal_annotated.xml,1900-1920,Alemania,Very Negative,0.7746731638908386
Alemania,"el fondo de su canosa barba . Detrás de la palabra 

     
       personalmente 
     
      , entreveía el conde una 
 terrible escena de violencia y sangre : temblaba por él y por su 
 hija ... por su hija , por la dulce Elena , por el ángel querido y 
 puro que alegraba los postreros días de su vida . Porque Diego de Omaña era el favorito 
 del muy alto y poderoso señor don Íñigo Fernández de Velasco , 
 condestable de Castilla y co-regente del reino durante la ausencia 
 del señor rey don Carlos V de Alemania y I de España . Y era también el verdugo de la 
 regencia , el que había levantado los cadalsos de Valladolid y 
 Rioseco para los bravos Comuneros de Castilla . Sonaron las doce en el reloj de la 
 catedral . A los pocos momentos , un pajecillo 
 rubio y sonrosado anunciaba a don Rodrigo la llegada de don Diego 
 de Omaña . Contaba a la sazón el caballero 
 treinta y seis años , sus ojos eran pequeños y oblicuos , su frente 
 deprimida , sus labios delgados y contraídos . Era el",SPA2010_MartínezDeVelasco_NocheDeVenganzas_annotated.xml,1860-1879,Alemania,Very Negative,0.7483882308006287
Alemania,"terminó la tutoría ; se sentó en el trono y   nombró su primer ministro a su pariente don Juan de Austria , hombre de gran talento que estableció un buen régimen y acaso hubiera curado los males de la nación , si la   Providencia no hubiese puesto en breve plazo término a su   vida . Don Carlos tenía una condición suave y benévola , pero a consecuencia de esta misma circunstancia y de hallarse 
   casi continuamente enfermo , era juguete de encontrados   manejos y ambiciosas aspiraciones . Por una parte , Leopoldo , Emperador de Alemania , envió agentes a la corte de España , para que lograsen del débil y doliente monarca ( que no tenía sucesión directa )   nombrase heredero del trono a Carlos , archiduque de Austria ; y por otra , Luis XIV empleaba iguales manejos para   que fuese nombrado Felipe de Anjou , nieto de este poderoso monarca y de María Teresa . La reina influía en favor de uno de los dos bandos , el   confesor del rey se interesaba por el otro , y el monarca indeciso sufría física y moralmente , en términos que se",SPA3028_PascualDeSanjuan_Flora_annotated.xml,1880-1899,Alemania,Neutral,0.6925420165061951
Alemania,"Así salió , casi milagrosamente , de aquel terrible compromiso , que de otro modo hubiera producido una catástrofe . Sin embargo , la victoria le costó muchos momentos de cruel amargura , un gran desfallecimiento físico y moral que por poco le hace enfermar . No es posible romper bruscamente con nuestras ideas y sentimientos , con lo que constituye nuestro carácter , sin que la ruptura produzca vivo dolor . Por esta época vino a visitarle un caballero chileno , aficionado a la zoología y dedicado también a la especialidad de las mariposas como él . Venía de Alemania y se disponía a regresar a su país . Había leído algunos de sus artículos científicos , y teniendo además noticia de su colección , no quiso pasar por Madrid sin verla . Raimundo le recibió con alegría y un poco de vergüenza también . Hacía ya algunos meses que no se ocupaba poco ni mucho en asuntos de ciencia , que tenía su colección abandonada . A pesar de eso el chileno la halló muy notable y simpatizó extremadamente con él . Le dijo que tenía encargo de su Gobierno para llevar algunos jóvenes de valer que se pusiesen",SPA3022_PalacioValdes_LaEspuma_annotated.xml,1880-1899,Alemania,Very Negative,0.6808005571365356
Alemania,", convulso , pálido como un muerto , redactó su famoso telegrama al Alto Comisario del Cabo , ordenándole que considerara como filibustero al doctor Jameson y a cuantos le ayudaran en su criminal empresa . Este telegrama fue el que motivó el de Cecil Rhodes . ¿ Y cómo no había de permitirse este último juzgar los actos de Chamberlain si éste era su cómplice y había faltado a lo convenido declarando filibustero al pobre Jameson en lugar de ayudarle como se había acordado ? ¿ Y cómo podía haber obrado de otro modo Chamberlain si un embajador de Alemania le hubiera acusado de conculcar el derecho de gentes y las leyes internacionales , caso de haber protegido al doctor Jameson ? Chamberlain vio perdida su carrera política en caso de que se descubriera su complicidad en una conspiración filibustera . Ni Salisbury , su jefe , ni nadie , podía ayudarle en esa empresa que había realizado de propia cuenta , sin consultar con el jefe del Gobierno , jefe de su partido . Salisbury no podía declarar la guerra a Alemania para ocultar las culpas de un ministro que había conspirado sin consultarle . Chamberlain no podía tampoco",SPA4017_Maetzu_LaGuerraDelTransvaal_annotated.xml,1900-1920,Alemania,Very Negative,0.6627352833747864
Alemania,"cerrado con este sobrescrito de su propia mano : « No ha de abrir esta cédula otro que el príncipe mi hijo , y en su defecto , dél , mi nieto Don Carlos ; y en su defecto él o la que fuere mi heredero o heredera , conforme a este mi testamento al tiempo que se abriere » . Dentro de este sobre hallábase la siguiente declaración firmada por el emperador y sellada con su sello secreto : « Demás de lo contenido en este mi testamento , digo y declaro que , por cuanto estando yo en Alemania , después que embiudé hube un hijo natural de una mujer soltera , el qual se llama Jerónimo , y mi intención ha sido y es que , por algunas causas que a esto me mueven , que pudiéndose buenamente endereçar que de su libre y espontánea voluntad él tomase hábito en alguna religión de frayles reformados , a lo qual se encamine sin hacerle para ello premia y extorsión alguna . Y no pudiendo esto guiar ansí , y queriendo él más seguir la vida y estado seglar , es mi voluntad y mando que se le den de",SPA4025_Coloma_Jeromin_annotated.xml,1900-1920,Alemania,Very Negative,0.6391765475273132
Alemania,"Los patricios de Almina , estas buenas familias 
 enriquecidas con salazones que tanto hieden , y las gentes humildes , 
 todos murmuraron de mí , creyéndome culpable de amor . Mi marido sabía mi 
 pureza ; yo , en cambio , estaba enterada de sus vicios , y como nunca nos 
 quisimos , aprovechamos gustosos esas pobres malicias y nos separamos 
 también externamente . Lambeth se trasladó al edificio de su despacho de 
 naviero y almacenista . Sólo le veía cuando visitaba a Julia , y sólo 
 estuvimos juntos durante dos viajes a Alemania . Sospecho que me llevaba 
 por convenirle presentarme en otros hogares de banqueros . Un año permaneció Guillermo en Almina . Tu padre , tía Dulce Nombre , todos 
 los hermanos le solicitaban , que se resignase ya a una vida quieta y 
 recogida . Negábase él , riendo y trazando nueva peregrinación . Le auguraban grandes males . Todo me lo contaba Guillermo , haciendo 
 cariñoso remedo de los avisos de su hermana Dulce Nombre , que le decía 
 las mismas palabras que a ti : « ¡ Ay , hijo , esa alegría",SPA4002_MiroGabriel_LasCerezasDelCementerio_annotated.xml,1900-1920,Alemania,Very Positive,0.6195560693740845
Alemania,"  nombre . El primer monarca de la casa de Austria , a quien llamaron el César , encontró a España en el apogeo de su grandeza y poderío , nunca antes ni después ha sido tan extenso   el dominio de los reyes de España , en términos de que era   axioma vulgar que nunca se ponía el sol en sus Estados . Algunas contradicciones encontró el joven don Carlos en   los primeros años de su reinado , siendo el primero con que   tuvo que luchar la incontrastable energía del cardenal Cisneros . Habiendo enviado desde Alemania a su preceptor   Adriano , Deán de Lobaina , para que tomara posesión en   su nombre y gobernara durante su ausencia , el Cardenal   se negó a entregarle el gobierno de la nación , y como los   partidarios del Deán le hiciesen presente que él tenía poderes de que carecía Cisneros , éste contestó enérgicamente :    « Los poderes con que cuento son aquéllos » ; y abriendo   el balcón , les enseñó una brigada de artillería con los artilleros al lado de las piezas , ostentando en su diestra mano   las mechas",SPA3028_PascualDeSanjuan_Flora_annotated.xml,1880-1899,Alemania,Neutral,0.6111213564872742
