entity,type,frequency
de,LOC,3363
Madrid,LOC,1911
la,LOC,1371
España,LOC,1055
Dolores,LOC,898
del,LOC,808
San,LOC,735
La,LOC,584
"
",LOC,499
Santa,LOC,486
Sevilla,LOC,389
Regenta,ORG,389
Francia,LOC,387
Inglaterra,LOC,386
León,LOC,366
Currita,LOC,351
Olimpia,LOC,347
Cruz,LOC,344
París,LOC,335
de,ORG,334
Castilla,LOC,326
Barcelona,LOC,317
Toledo,LOC,312
Roma,LOC,307
Estado,LOC,304
Vetusta,ORG,299
Mira,LOC,282
Lozano,LOC,276
Conque,LOC,276
los,LOC,274
Iglesia,ORG,268
Europa,LOC,267
Marquesa,LOC,265
Mercedes,ORG,257
Flora,LOC,245
Al,ORG,245
Italia,LOC,242
Tenía,ORG,242
Santiago,LOC,235
Mendoza,LOC,234
Flandes,LOC,232
!,LOC,230
Clotilde,LOC,226
Petra,LOC,225
!,ORG,224
El,LOC,220
Londres,LOC,220
Norte,LOC,214
Juan,LOC,207
Costancita,LOC,206
Navarra,LOC,204
Quintanar,LOC,201
Marqués,LOC,200
Johannesburgo,LOC,199
Casino,LOC,199
Frígilis,LOC,197
Señora,LOC,197
Luisa,LOC,197
calle,LOC,196
Palacio,LOC,194
Burgos,LOC,190
Cádiz,LOC,185
Gobierno,LOC,183
Muergo,LOC,178
Montánchez,LOC,177
Virgen,LOC,174
Magdalena,LOC,171
Nela,LOC,169
Turella,LOC,168
Granada,LOC,168
Valladolid,LOC,166
Transvaal,LOC,166
-Ya,LOC,162
Santo,LOC,160
Condesa,LOC,160
Plaza,LOC,159
Don,LOC,159
Córdoba,LOC,158
Puerta,LOC,157
América,LOC,155
Chisco,LOC,153
Portugal,LOC,152
las,LOC,149
Consejo,ORG,148
plaza,LOC,147
.,LOC,147
Sebastián,LOC,147
Valencia,LOC,144
?,LOC,143
el,LOC,139
Nacional,ORG,137
Providencia,LOC,136
Sur,LOC,134
Andalucía,LOC,133
Provisor,LOC,132
Alba,LOC,132
Joya,LOC,131
Lara,LOC,131
Cabo,LOC,129
Pipá,LOC,127
Gabriela,LOC,125
Obispo,LOC,124
...,LOC,124
Tenía,LOC,123
Coteruco,LOC,123
Alcalá,LOC,122
Ayuntamiento,LOC,122
Rosario,LOC,120
Mayor,LOC,119
palacio,LOC,118
á,LOC,118
Nápoles,LOC,117
Azan,LOC,116
Maya,LOC,114
Retiro,LOC,113
Santos,ORG,113
Vicario,LOC,112
Villagarcía,LOC,111
Cura,LOC,111
Tienes,LOC,111
condesa,LOC,110
Después,LOC,110
Corregidor,LOC,110
Vetusta,LOC,110
Compañía,ORG,108
Cañizares,LOC,106
Príncipe,LOC,105
Madrigal,LOC,104
Altamira,LOC,103
Mudarra,LOC,101
Nicolás,LOC,101
Fátima,LOC,99
Imperio,LOC,99
Dios,LOC,99
África,LOC,99
María,LOC,99
Estados,LOC,98
Sol,LOC,98
tierra,LOC,98
Alemania,LOC,97
Sandoval,LOC,97
Gómez-Urquijo,LOC,96
Infante,LOC,95
Zaragoza,LOC,93
Vegallana,LOC,93
Pero,LOC,92
Alcaraban,ORG,92
D.,LOC,91
Serosca,LOC,91
Rajatul-laj,LOC,90
Eugenia,LOC,90
Estrella,LOC,89
Orencia,ORG,89
Austria,LOC,89
Pimentó,LOC,88
Bolsa,ORG,88
Puerto,LOC,88
Occidente,LOC,88
Africa,LOC,87
Baranda,LOC,87
Aurelia,LOC,87
Kimberley,LOC,86
Nó,LOC,86
Aragón,LOC,85
luna,LOC,85
Aguilar,LOC,84
Amparo,LOC,83
Marina,ORG,83
Ripamilán,LOC,82
Jaguá,LOC,82
Facia,LOC,81
Zaratán,LOC,80
Campillo,LOC,79
Delfín,LOC,79
Segovia,LOC,79
Real,LOC,78
Riperdá,LOC,77
Luego,ORG,77
Real,ORG,77
Bata,LOC,77
Todavía,LOC,77
Justicia,ORG,76
Túnez,LOC,76
casa,LOC,76
del,ORG,76
Cabildo,LOC,75
Banco,LOC,75
Libertad,LOC,74
Los,LOC,74
Historia,ORG,73
Mercado,LOC,73
Gran,LOC,72
Nuestra,LOC,72
Voy,LOC,71
Majestad,LOC,70
Guardia,ORG,70
Birmingham,LOC,70
Sochantre,LOC,69
Prado,LOC,69
Alicia,LOC,68
Pazos,LOC,68
Carmen,LOC,68
Estás,LOC,68
-No,LOC,67
Obdulia,LOC,66
-Adiós,LOC,66
Ida,LOC,66
mar,LOC,66
Francisco,LOC,65
Búrgos,LOC,65
Habana,LOC,65
Las,LOC,65
Visita,LOC,65
reino,LOC,65
Ayer,ORG,65
Carpio,LOC,64
Lisboa,LOC,64
Voy,ORG,64
Carolina,ORG,64
Roja,ORG,64
Lazán,LOC,64
Lambra,LOC,63
Arcipreste,LOC,63
Valcárcel,LOC,63
Sociedad,ORG,63
Atocha,LOC,62
Vaya,LOC,62
Gracia,LOC,62
Trampeta,LOC,61
Casa,LOC,61
Loreto,LOC,61
Fabián,LOC,60
Olimpia,ORG,60
Orduña,LOC,60
Bruselas,LOC,60
Tona,LOC,59
Cuba,LOC,59
Irlanda,LOC,59
