entity,type,frequency
Madrid,LOC,1911
España,LOC,1055
Dolores,LOC,898
Santa,LOC,486
Sevilla,LOC,389
Francia,LOC,387
Inglaterra,LOC,386
León,LOC,366
Olimpia,LOC,347
París,LOC,335
Castilla,LOC,326
Barcelona,LOC,317
Toledo,LOC,312
Roma,LOC,307
Vetusta,ORG,299
Lozano,LOC,276
Europa,LOC,267
Italia,LOC,242
Santiago,LOC,235
Mendoza,LOC,234
Flandes,LOC,232
Londres,LOC,220
Costancita,LOC,206
Navarra,LOC,204
Quintanar,LOC,201
Frígilis,LOC,197
Palacio,LOC,194
Burgos,LOC,190
Cádiz,LOC,185
Gobierno,LOC,183
Muergo,LOC,178
Montánchez,LOC,177
Magdalena,LOC,171
Turella,LOC,168
Granada,LOC,168
Valladolid,LOC,166
Plaza,LOC,159
Córdoba,LOC,158
América,LOC,155
Chisco,LOC,153
Portugal,LOC,152
Consejo,ORG,148
Valencia,LOC,144
Andalucía,LOC,133
Lara,LOC,131
Cabo,LOC,129
Coteruco,LOC,123
Alcalá,LOC,122
Ayuntamiento,LOC,122
Rosario,LOC,120
Nápoles,LOC,117
Azan,LOC,116
Maya,LOC,114
Villagarcía,LOC,111
Vetusta,LOC,110
Madrigal,LOC,104
Altamira,LOC,103
Mudarra,LOC,101
Fátima,LOC,99
Alemania,LOC,97
Gómez-Urquijo,LOC,96
Infante,LOC,95
Vegallana,LOC,93
Serosca,LOC,91
Rajatul-laj,LOC,90
Orencia,ORG,89
Austria,LOC,89
Puerto,LOC,88
Occidente,LOC,88
Africa,LOC,87
Baranda,LOC,87
Aragón,LOC,85
Aguilar,LOC,84
Marina,ORG,83
Ripamilán,LOC,82
Campillo,LOC,79
Segovia,LOC,79
Riperdá,LOC,77
Túnez,LOC,76
Cabildo,LOC,75
Birmingham,LOC,70
Prado,LOC,69
Pazos,LOC,68
Obdulia,LOC,66
Habana,LOC,65
Lisboa,LOC,64
Carolina,ORG,64
Valcárcel,LOC,63
Gracia,LOC,62
Loreto,LOC,61
Olimpia,ORG,60
Orduña,LOC,60
Bruselas,LOC,60
Cuba,LOC,59
Irlanda,LOC,59
Aragon,LOC,59
Espolón,LOC,58
Cartagena,LOC,57
Santander,LOC,56
Galicia,LOC,56
Biarritz,LOC,54
Milán,LOC,54
Alteza,LOC,53
Venus,LOC,53
Méjico,LOC,53
Nueva,LOC,53
Cauca,LOC,53
Pretoria,LOC,53
Severiana,LOC,52
República,LOC,52
Salas,LOC,51
Indias,LOC,50
Pardo,LOC,49
Mancha,LOC,49
Tarraco,LOC,49
Salamanca,LOC,48
Levante,LOC,48
Ebro,LOC,47
Asia,LOC,47
Caracol,LOC,47
Siricia,LOC,47
Buenos,LOC,46
Fuentidueña,LOC,46
Senado,ORG,46
Villalonga,LOC,46
Congreso,ORG,46
